1998-10-06;PETR4.SA;13:03:09,2470000;10:03:09,2470000;115;50;5750
1998-10-07;PETR4.SA;13:07:30,4390000;10:07:30,4390000;117;20;2340
1998-10-08;PETR4.SA;13:06:32,2230000;10:06:32,2230000;112;10;1120
1998-10-09;PETR4.SA;13:04:01,7010000;10:04:01,7010000;119;1000;119000
1998-10-13;PETR4.SA;13:16:36,6600000;11:16:36,6600000;127;100;12700
1998-10-14;PETR4.SA;13:01:22,5540000;11:01:22,5540000;128,5;200;25700
1998-10-15;PETR4.SA;13:06:55,4240000;11:06:55,4240000;128,5;500;64250
1998-10-16;PETR4.SA;13:05:13,4200000;11:05:13,4200000;135;100;13500
1998-10-19;PETR4.SA;13:06:50,6030000;11:06:50,6030000;138;100;13800
1998-10-20;PETR4.SA;13:05:11,4840000;11:05:11,4840000;143;100;14300
1998-10-21;PETR4.SA;13:02:51,0600000;11:02:51,0600000;154;20;3080
1998-10-22;PETR4.SA;13:01:20,7840000;11:01:20,7840000;167;100;16700
1998-10-23;PETR4.SA;13:03:50,7150000;11:03:50,7150000;166;100;16600
1998-10-26;PETR4.SA;13:07:07,9590000;11:07:07,9590000;157;100;15700
1998-10-27;PETR4.SA;13:03:32,6140000;11:03:32,6140000;148;300;44400
1998-10-28;PETR4.SA;14:01:23,4270000;12:01:23,4270000;140,01;10;1400,1
1998-10-29;PETR4.SA;13:05:30,3610000;11:05:30,3610000;143;20;2860
1998-10-30;PETR4.SA;13:03:18,5570000;11:03:18,5570000;146;20;2920
1998-11-03;PETR4.SA;13:06:09,5190000;11:06:09,5190000;152;100;15200
1998-11-04;PETR4.SA;13:02:36,0300000;11:02:36,0300000;165;300;49500
1998-11-05;PETR4.SA;13:04:02,0240000;11:04:02,0240000;170,9;50;8545
1998-11-06;PETR4.SA;13:04:14,5580000;11:04:14,5580000;183;100;18300
1998-11-09;PETR4.SA;13:06:03,9870000;11:06:03,9870000;184;100;18400
1998-11-10;PETR4.SA;13:03:05,6790000;11:03:05,6790000;183;20;3660
1998-11-11;PETR4.SA;13:08:20,5270000;11:08:20,5270000;183;500;91500
1998-11-12;PETR4.SA;13:15:02,9980000;11:15:02,9980000;177;100;17700
1998-11-13;PETR4.SA;13:03:01,3280000;11:03:01,3280000;175;100;17500
1998-11-16;PETR4.SA;13:03:38,8530000;11:03:38,8530000;180;100;18000
1998-11-17;PETR4.SA;13:05:30,7370000;11:05:30,7370000;187;500;93500
1998-11-18;PETR4.SA;13:05:22,3970000;11:05:22,3970000;188;60;11280
1998-11-19;PETR4.SA;13:04:46,4070000;11:04:46,4070000;193;100;19300
1998-11-20;PETR4.SA;13:03:45,4410000;11:03:45,4410000;191;200;38200
1998-11-23;PETR4.SA;13:04:24,0590000;11:04:24,0590000;184,5;20;3690
1998-11-24;PETR4.SA;13:03:14,8510000;11:03:14,8510000;184,5;100;18450
1998-11-25;PETR4.SA;13:05:52,4150000;11:05:52,4150000;186;500;93000
1998-11-26;PETR4.SA;13:05:59,5490000;11:05:59,5490000;190;100;19000
1998-11-27;PETR4.SA;13:04:34,5490000;11:04:34,5490000;183,1;200;36620
1998-11-30;PETR4.SA;13:02:53,6950000;11:02:53,6950000;181,5;10;1815
1998-12-01;PETR4.SA;13:01:20,3530000;11:01:20,3530000;171;2610;446310
1998-12-02;PETR4.SA;13:06:22,0700000;11:06:22,0700000;174,5;10;1745
1998-12-03;PETR4.SA;13:03:01,2710000;11:03:01,2710000;170;1000;170000
1998-12-04;PETR4.SA;13:05:27,9770000;11:05:27,9770000;165;10;1650
1998-12-07;PETR4.SA;13:12:21,7300000;11:12:21,7300000;165;100;16500
1998-12-08;PETR4.SA;13:03:00,5260000;11:03:00,5260000;165;70;11550
1998-12-09;PETR4.SA;13:14:40,4270000;11:14:40,4270000;163;100;16300
1998-12-10;PETR4.SA;13:05:33,9700000;11:05:33,9700000;155;100;15500
1998-12-11;PETR4.SA;13:04:54,6460000;11:04:54,6460000;151;500;75500
1998-12-14;PETR4.SA;13:09:58,3310000;11:09:58,3310000;144;200;28800
1998-12-15;PETR4.SA;13:03:43,6050000;11:03:43,6050000;133;100;13300
1998-12-16;PETR4.SA;13:01:13,6680000;11:01:13,6680000;140;50;7000
1998-12-17;PETR4.SA;13:09:55,4010000;11:09:55,4010000;127;100;12700
1998-12-18;PETR4.SA;13:12:36,8180000;11:12:36,8180000;132;200;26400
1998-12-21;PETR4.SA;13:05:18,1920000;11:05:18,1920000;136;60;8160
1998-12-22;PETR4.SA;13:06:03,3120000;11:06:03,3120000;140;500;70000
1998-12-23;PETR4.SA;13:00:47,2830000;11:00:47,2830000;143;10;1430
1998-12-28;PETR4.SA;13:04:12,6000000;11:04:12,6000000;148;100;14800
1998-12-29;PETR4.SA;13:00:45,4800000;11:00:45,4800000;139;80;11120
1998-12-30;PETR4.SA;13:23:09,1700000;11:23:09,1700000;132,02;5;660,1
1999-01-04;PETR4.SA;13:13:42,2250000;11:13:42,2250000;141;100;14100
1999-01-05;PETR4.SA;13:06:25,0570000;11:06:25,0570000;133;50;6650
1999-01-06;PETR4.SA;13:06:09,6080000;11:06:09,6080000;140;100;14000
1999-01-07;PETR4.SA;13:03:58,2710000;11:03:58,2710000;137;30;4110
1999-01-08;PETR4.SA;13:09:03,3950000;11:09:03,3950000;141;7;987
1999-01-11;PETR4.SA;13:11:17,8440000;11:11:17,8440000;130;100;13000
1999-01-12;PETR4.SA;13:02:24,2870000;11:02:24,2870000;123;50;6150
1999-01-13;PETR4.SA;14:01:25,8260000;12:01:25,8260000;117;20;2340
1999-01-14;PETR4.SA;13:06:45,8920000;11:06:45,8920000;104;100;10400
1999-01-15;PETR4.SA;13:03:28,9770000;11:03:28,9770000;85;100;8500
1999-01-18;PETR4.SA;13:01:01,8810000;11:01:01,8810000;105;10000;1050000
1999-01-19;PETR4.SA;13:04:59,2840000;11:04:59,2840000;105;10;1050
1999-01-20;PETR4.SA;13:05:36,3040000;11:05:36,3040000;112;200;22400
1999-01-21;PETR4.SA;13:02:56,5130000;11:02:56,5130000;115;100;11500
1999-01-22;PETR4.SA;13:04:42,6110000;11:04:42,6110000;116;100;11600
1999-01-27;PETR4.SA;13:07:40,2030000;11:07:40,2030000;114;100;11400
1999-01-28;PETR4.SA;13:02:44,7090000;11:02:44,7090000;116;50;5800
1999-01-29;PETR4.SA;13:03:32,4990000;11:03:32,4990000;131;100;13100
1999-01-30;PETR4.SA;00:00:45,3220000;-01:59:14,6780000;141;800;112800
