1998-09-03;PETR4.SA;30;13:00:34,3810000;10:00:34,3810000;135;135;130;134;134,563630898708;39924;5372318,41103538
1998-09-04;PETR4.SA;30;13:02:09,4840000;10:02:09,4840000;134;138;134;137;136,611755589993;76789;10490280,11513741
1998-09-08;PETR4.SA;30;13:04:34,1930000;10:04:34,1930000;133;136;132;133;133,965192016934;33070;4430228,91082420
1998-09-10;PETR4.SA;30;13:00:56,9550000;10:00:56,9550000;114,5;115;108;109,99;110,624172791931;42039;4650529,61484332
1998-09-11;PETR4.SA;30;13:02:36,2800000;10:02:36,2800000;95;104;90;103;96,3040888262249;17022;1639288,21063437
1998-09-14;PETR4.SA;30;13:02:37,7200000;10:02:37,7200000;114;114;105;112;110,798113423935;17439;1932208,3801528
1998-09-15;PETR4.SA;30;13:05:20,6500000;10:05:20,6500000;124;129;120;123;122,410457670214;21238;2599753,31003127
1998-09-16;PETR4.SA;30;13:01:53,1040000;10:01:53,1040000;150;154;149;150;151,904920471175;41683;6331852,81744573
1998-09-17;PETR4.SA;30;13:01:53,1180000;10:01:53,1180000;125,5;140;117;118;120,418549231954;79227;9540400,42707578
1998-09-18;PETR4.SA;30;13:02:13,9490000;10:02:13,9490000;118;122,01;118;121;121,259523934725;57051;6917977,11453835
1998-09-21;PETR4.SA;30;13:01:37,9670000;10:01:37,9670000;115;117;109,01;111;110,740523083439;18888;2091667954927
1998-09-22;PETR4.SA;30;13:01:52,3970000;10:01:52,3970000;120;122;120;120;121,385241201348;27902;3386891813717
1998-09-23;PETR4.SA;30;13:01:29,4310000;10:01:29,4310000;122;123;120;122;122,049265934066;22750;2776620,8782225
1998-09-24;PETR4.SA;30;13:02:10,6550000;10:02:10,6550000;134;135;133;135;134,386988960792;26270;3530346,21275047
1998-09-25;PETR4.SA;30;13:04:05,3560000;10:04:05,3560000;125;125;121,01;122,01;122,487867462086;27826;3408347,41082936
1998-09-28;PETR4.SA;30;13:05:56,5380000;10:05:56,5380000;127;130;127;129;128,307855887522;17070;2190215,158183
1998-09-29;PETR4.SA;30;13:07:59,8150000;10:07:59,8150000;126;126,5;124;126;125,406254218223;8890;1114861,6521416
1998-09-30;PETR4.SA;30;13:04:31,5210000;10:04:31,5210000;122;123;120;121;120,729351896303;20830;2514792,4822726
1998-10-01;PETR4.SA;30;13:04:00,4680000;10:04:00,4680000;116;119;116;118;117,717572263465;12662;1490539,9681821
1998-10-02;PETR4.SA;30;13:02:24,5920000;10:02:24,5920000;116;118,01;114,01;116;116,849278598218;17064;1993916,091053929
1998-10-05;PETR4.SA;30;13:06:56,3650000;10:06:56,3650000;114;115;112,01;114;114,09056969697;8250;941247,2551817
1998-10-06;PETR4.SA;30;13:03:09,2470000;10:03:09,2470000;117;118,98;117;118;117,970153203343;21540;2541077,170515
1998-10-07;PETR4.SA;30;13:07:30,4390000;10:07:30,4390000;117;118,5;116,5;118;117,740955448202;7452;877405,6531620
1998-10-08;PETR4.SA;30;13:06:32,2230000;10:06:32,2230000;110;112;110;112;111,047423108894;12030;1335900,555812
1998-10-09;PETR4.SA;30;13:04:01,7010000;10:04:01,7010000;119;120,5;118;120,5;119,943071428571;28000;3358406881034
1998-10-13;PETR4.SA;30;13:16:36,6600000;11:16:36,6600000;127;128;126;127,5;126,978384433962;16960;2153553,4602315
1998-10-14;PETR4.SA;30;13:01:22,5540000;11:01:22,5540000;130;130;127,7;128,01;128,653148410609;24695;3177089,51113937
1998-10-15;PETR4.SA;30;13:06:55,4240000;11:06:55,4240000;128,5;129;127,01;127,01;128,245804828974;9940;1274763,32872
1998-10-16;PETR4.SA;30;13:05:13,4200000;11:05:13,4200000;136;138;135;137;136,850112404657;24910;3408936,3821436
1998-10-19;PETR4.SA;30;13:06:50,6030000;11:06:50,6030000;137,1;138,01;136;138,01;137,32667886727;5191;712862,79391514
1998-10-20;PETR4.SA;30;13:05:11,4840000;11:05:11,4840000;145;147,01;144;146,5;146,249144040497;21730;3177993,9902617
1998-10-21;PETR4.SA;30;13:02:51,0600000;11:02:51,0600000;153;158;151;158;155,837184404414;56734;8841266,821525340
1998-10-22;PETR4.SA;30;13:01:20,7840000;11:01:20,7840000;166,99;168;165;167;166,120670250896;27900;4634766,71063724
1998-10-23;PETR4.SA;30;13:03:50,7150000;11:03:50,7150000;166;166;159;161,99;161,512929855182;21199;3423912,61174126
1998-10-26;PETR4.SA;30;13:07:07,9590000;11:07:07,9590000;157;160;154;155;156,108071283555;4433;692027,0832714
1998-10-27;PETR4.SA;30;13:03:32,6140000;11:03:32,6140000;148;152;148;151;150,920943647389;6761;1020376,5441322
1998-10-28;PETR4.SA;30;14:01:23,4270000;12:01:23,4270000;140;147;140;147;144,313389391979;9276;133865143716
1998-10-29;PETR4.SA;30;13:05:30,3610000;11:05:30,3610000;143;145;142;143;143,680885529158;5556;798291482317
1998-10-30;PETR4.SA;30;13:03:18,5570000;11:03:18,5570000;145;150;144;146;145,602269526377;24851;3618362992425
1998-11-03;PETR4.SA;30;13:06:09,5190000;11:06:09,5190000;153;158;153;157,01;156,017047738693;23880;3725687,11033126
1998-11-04;PETR4.SA;30;13:02:36,0300000;11:02:36,0300000;165;172;165;168,9;169,02841360597;41276;6976816,81313848
1998-11-05;PETR4.SA;30;13:04:02,0240000;11:04:02,0240000;170,9;171;165;168;167,849712041885;7640;1282371,840188
1998-11-06;PETR4.SA;30;13:04:14,5580000;11:04:14,5580000;183;187,99;182;186;185,440911965959;17391;3225002,91012326
1998-11-09;PETR4.SA;30;13:06:03,9870000;11:06:03,9870000;184;184,05;181;184,05;182,147890011223;8910;1622937,732125
1998-11-10;PETR4.SA;30;13:03:05,6790000;11:03:05,6790000;183;183;181;182;181,756222285068;17680;3213450,0165298
1998-11-11;PETR4.SA;30;13:08:20,5270000;11:08:20,5270000;183;185;183;185;184,038978494624;14880;27385003355
1998-11-12;PETR4.SA;30;13:15:02,9980000;11:15:02,9980000;177;181;177;180;178,987545787546;5460;97727237148
1998-11-13;PETR4.SA;30;13:03:01,3280000;11:03:01,3280000;175;177;174;176;175,804663733501;15910;2797052,2662611
1998-11-16;PETR4.SA;30;13:03:38,8530000;11:03:38,8530000;180;184;180;184;183,136764264264;13320;2439381,7702536
1998-11-17;PETR4.SA;30;13:05:30,7370000;11:05:30,7370000;187;188;185;185;185,729453741711;15835;2941025,9561918
1998-11-18;PETR4.SA;30;13:05:22,3970000;11:05:22,3970000;187;192;185;192;189,525365391897;26410;5005364,9751439
1998-11-19;PETR4.SA;30;13:04:46,4070000;11:04:46,4070000;193;193;188;191;190,461410788382;5543;1055727,6561520
1998-11-20;PETR4.SA;30;13:03:45,4410000;11:03:45,4410000;191;192;188;189;190,491580916745;10690;203635542149
1998-11-23;PETR4.SA;30;13:04:24,0590000;11:04:24,0590000;185;189;184,51;185,5;185,524948565896;16526;3065985,355815
1998-11-24;PETR4.SA;30;13:03:14,8510000;11:03:14,8510000;185;185;183;183,99;184,259463276836;12036;2217746,940911
1998-11-25;PETR4.SA;30;13:05:52,4150000;11:05:52,4150000;186;187;184;184;185,820481154771;12470;2317181,437716
1998-11-26;PETR4.SA;30;13:05:59,5490000;11:05:59,5490000;190;193;189;193;191,430788723472;6314;1208694481127
1998-11-27;PETR4.SA;30;13:04:34,5490000;11:04:34,5490000;184;185;184;184;184,475988700565;7080;130609023157
1998-11-30;PETR4.SA;30;13:02:53,6950000;11:02:53,6950000;181;181;181;181;181;1905;3448051427
1998-12-01;PETR4.SA;30;13:01:20,3530000;11:01:20,3530000;165,1;171;163;166;166,050244712091;23497;3901682,6571016
1998-12-02;PETR4.SA;30;13:06:22,0700000;11:06:22,0700000;174;180;174;179;178,921753221398;10244;1832874,4443147
1998-12-03;PETR4.SA;30;13:03:01,2710000;11:03:01,2710000;169;172;168;168;169,481638851916;58602;99319631045117
1998-12-04;PETR4.SA;30;13:05:27,9770000;11:05:27,9770000;164;166,1;164;166;165,078928823115;2838;4684942699
1998-12-07;PETR4.SA;30;13:12:21,7300000;11:12:21,7300000;165;167;165;165,5;165,981800766284;5220;8664252396
1998-12-08;PETR4.SA;30;13:03:00,5260000;11:03:00,5260000;165;167;164;167;165,902327024511;3223;534703,22332
1998-12-09;PETR4.SA;30;13:14:40,4270000;11:14:40,4270000;163;163;163;163;163;4360;710680715
1998-12-10;PETR4.SA;30;13:05:33,9700000;11:05:33,9700000;156;157;154;154;155,978252575353;13105;2044095571716
1998-12-11;PETR4.SA;30;13:04:54,6460000;11:04:54,6460000;151;151;146,5;147;149,026856088561;13550;2019313,954109
1998-12-14;PETR4.SA;30;13:09:58,3310000;11:09:58,3310000;143;143;140;142;142,068331143233;3805;5405701927
1998-12-15;PETR4.SA;30;13:03:43,6050000;11:03:43,6050000;134,01;139;133;139;136,804884516681;11690;1599249,1541216
1998-12-16;PETR4.SA;30;13:01:13,6680000;11:01:13,6680000;140;143;137;142;140,216269590273;14229;1995137,371169
1998-12-17;PETR4.SA;30;13:09:55,4010000;11:09:55,4010000;127,01;129;126;128;127,607390499692;8105;1034257,953207
1998-12-18;PETR4.SA;30;13:12:36,8180000;11:12:36,8180000;132;132,5;131;132;132,012285012285;2442;3223741829
1998-12-21;PETR4.SA;30;13:05:18,1920000;11:05:18,1920000;136;138;136;137;136,596911685028;5537;756337,1461020
1998-12-22;PETR4.SA;30;13:06:03,3120000;11:06:03,3120000;139;140;139;140;139,011308161709;10488;1457950,63019
1998-12-23;PETR4.SA;30;13:00:47,2830000;11:00:47,2830000;143;147;143;147;145,733473451327;9040;1317430,62346
1998-12-28;PETR4.SA;30;13:04:12,6000000;11:04:12,6000000;148;149;147;148;148,07408496732;3060;453106,723106
1998-12-29;PETR4.SA;30;13:00:45,4800000;11:00:45,4800000;137;137,01;134,02;137;135,573486725664;5650;765990,238817
1998-12-30;PETR4.SA;30;13:23:09,1700000;11:23:09,1700000;138;138;137,5;138;137,944444444444;900;124150804
1999-01-04;PETR4.SA;30;13:13:42,2250000;11:13:42,2250000;141;141;140;140;140,643189368771;6622;931339,230311
1999-01-05;PETR4.SA;30;13:06:25,0570000;11:06:25,0570000;133;134;131;134;132,37141965289;8009;1060162,74077
1999-01-06;PETR4.SA;30;13:06:09,6080000;11:06:09,6080000;141;142,5;139,1;140,5;141,652664814347;15836;2243211,654614
1999-01-07;PETR4.SA;30;13:03:58,2710000;11:03:58,2710000;136,5;136,5;130;136;135,628845703582;4271;579270,844811
1999-01-08;PETR4.SA;30;13:09:03,3950000;11:09:03,3950000;139;142;139;142;141,376653439153;3024;42752319111
1999-01-11;PETR4.SA;30;13:11:17,8440000;11:11:17,8440000;131;131;128;128;128,766424778761;5650;727530,330146
1999-01-12;PETR4.SA;30;13:02:24,2870000;11:02:24,2870000;121;125;119,01;119,5;119,933655043587;9636;1155680,769296
1999-01-13;PETR4.SA;30;14:01:25,8260000;12:01:25,8260000;117;117;99;100;104,572152105025;11045;1154999,4245206
1999-01-14;PETR4.SA;30;13:06:45,8920000;11:06:45,8920000;111;112;109;110;110,592560464802;37005;4092477,71032511
1999-01-15;PETR4.SA;30;13:03:28,9770000;11:03:28,9770000;79;95;79;92;91,6221794856351;83015;7606015,231744154
