Command,EntryType,Symbol,Exchange,SecurityID
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",RDCD3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",RSID3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",SANB11,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",SBSP3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",TAMM4,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",TIMP3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",TMAR5,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",TNLP3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",TNLP4,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",TRPL4,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",UGPA3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",USIM3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",USIM5,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",VAGR3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",VALE3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",VALE5,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",VIVT4,BOVESPA,null
